,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
112,38,0.029166666666666667,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.12549019607843137,0.1568627450980392,0.7274006054376667,38
113,39,0.025925925924444447,8,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.0977124183,0.1568627450980392,0.6821842749156023,39
114,4,,0,[],0.0,0.0,,4
115,40,0.025925925924444447,5,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_7b_it'
 'google_gemma_3_27b_it']",0.05718954248235294,0.09803921568627451,0.5053553344635283,40
116,41,0.075,3,['google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.03431372549019608,0.058823529411764705,0.438424932516733,41
117,42,0.05,7,"['llama-3.1-8B-instruct' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.10896358543333333,0.13725490196078433,0.6813641360853332,42
118,43,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,43
119,44,0.075,3,['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.03431372549019608,0.058823529411764705,0.45141530088759907,44
120,45,,0,[],0.0,0.0,,45
121,46,0.40185185185166666,1,['google_gemma_3_27b_it'],0.006535947711764706,0.0196078431372549,0.27842302319485224,46
122,47,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,47
123,48,,0,[],0.0,0.0,,48
124,49,0.05,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.022549019607843137,0.0784313725490196,0.5016660998793568,49
125,5,0.18000000000000002,2,['google_gemma_2_27b_it' 'google_gemma_3_4b_it'],0.021568627450980395,0.0392156862745098,0.3680319255692309,5
126,50,,0,[],0.0,0.0,,50
127,51,,0,[],0.0,0.0,,51
128,52,,0,[],0.0,0.0,,52
129,53,0.025925925924444447,4,"['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_27b_it']",0.060457516339215686,0.0784313725490196,0.5016660998793568,53
130,54,0.075,4,"['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.036928104574509804,0.0784313725490196,0.5145062629721594,54
131,55,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,55
132,56,0.025925925924444447,2,['mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'],0.016339869280392154,0.0392156862745098,0.31262927010719616,56
133,57,,0,[],0.0,0.0,,57
134,58,,0,[],0.0,0.0,,58
135,59,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,59
136,6,0.07777777777722222,2,['llama-3.1-8B-instruct' 'google_gemma_2_9b_it'],0.01610644257647059,0.0392156862745098,0.32845860023920603,6
137,60,0.05,3,"['google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.020915032680392156,0.058823529411764705,0.4366651305432411,60
138,61,,0,[],0.0,0.0,,61
139,62,,0,[],0.0,0.0,,62
140,63,0.40185185185166666,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.27842302319485224,63
141,64,0.18000000000000002,3,['google_gemma_2_27b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.03333333333333333,0.058823529411764705,0.4773960376293314,64
142,65,0.08944444444444445,2,['llama-3.2-3B-instruct' 'google_gemma_2_27b_it'],0.027450980392156862,0.0392156862745098,0.352202595437221,65
143,66,,0,[],0.0,0.0,,66
144,67,0.05,5,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_codegemma_1.1_7b_it']",0.039869281045098036,0.09803921568627451,0.5540781388751302,67
145,68,,0,[],0.0,0.0,,68
146,69,,0,[],0.0,0.0,,69
147,7,0.18000000000000002,3,['google_gemma_2_27b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.03725490196078431,0.058823529411764705,0.4773960376293314,7
148,70,,0,[],0.0,0.0,,70
149,71,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,71
150,72,0.2222222222222222,2,['google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.03267973856274509,0.0392156862745098,0.3838612557012408,72
151,73,,0,[],0.0,0.0,,73
152,74,,0,[],0.0,0.0,,74
153,75,0.05,6,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.0673202614372549,0.11764705882352941,0.6168291644743185,75
154,76,,0,[],0.0,0.0,,76
155,77,0.075,2,['google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.01143790849607843,0.0392156862745098,0.352202595437221,77
156,78,,0,[],0.0,0.0,,78
157,79,,0,[],0.0,0.0,,79
158,8,0.05,4,"['google_gemma_2_27b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.05490196078431373,0.0784313725490196,0.5243402738852034,8
159,80,,0,[],0.0,0.0,,80
160,81,0.15,3,['google_gemma_2_9b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.03104575163333333,0.058823529411764705,0.4579104850730322,81
161,82,,0,[],0.0,0.0,,82
162,83,0.15,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.04379084967254902,0.0784313725490196,0.5258140929275915,83
163,84,,0,[],0.0,0.0,,84
164,85,0.075,3,['google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.03758169934705882,0.058823529411764705,0.444920116702166,85
165,86,,0,[],0.0,0.0,,86
166,87,0.029166666666666667,4,"['google_gemma_7b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.06372549019607843,0.0784313725490196,0.48466046937497187,87
167,88,,0,[],0.0,0.0,,88
168,89,,0,[],0.0,0.0,,89
169,9,0.026495726495555556,8,"['llama-3.2-3B-instruct' 'llama-3.2-1B-instruct' 'google_gemma_7b_it'
 'google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.10718954248431374,0.1568627450980392,0.6762122102864713,9
170,90,,0,[],0.0,0.0,,90
171,91,,0,[],0.0,0.0,,91
172,92,0.15,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.040849673201960784,0.058823529411764705,0.4579104850730322,92
173,93,,0,[],0.0,0.0,,93
174,94,0.40185185185166666,1,['google_gemma_3_27b_it'],0.013071895425490195,0.0196078431372549,0.27842302319485224,94
175,95,,0,[],0.0,0.0,,95
176,96,,0,[],0.0,0.0,,96
177,97,,0,[],0.0,0.0,,97
178,98,0.18000000000000002,2,['google_gemma_3_27b_it' 'google_gemma_3_4b_it'],0.016993464052941176,0.0392156862745098,0.3838612557012408,98
179,99,,0,[],0.0,0.0,,99
